age	weight	height	gender	married	number_of_kids	pet	expenses
18	52.2	160.49	man	FALSE	1	none	-413.20473027253
70	74.4	171.32	woman	FALSE	0	dog	2716.78764134703
27	87.1	190.88	man	FALSE	2	none	-2.90993847574515
36	91.6	207.99	man	TRUE	3	cat	573.720184804794
32	87.1	182.67	man	FALSE	1	none	286.191473470474
27	79.5	176.27	woman	FALSE	1	none	80.8731920326579
28	84.7	177.99	woman	FALSE	1	cat	-306.040137869591
41	76.9	194.82	man	FALSE	1	none	540.652700938992
40	75.3	171.62	woman	FALSE	2	ferret	779.373461559053
43	67.9	139.55	woman	FALSE	1	cat	841.203055320759
33	58.3	158.13	woman	FALSE	0	none	-13.8036588639129
44	59	171.91	woman	FALSE	2	none	531.618178397742
36	86.4	192.56	man	FALSE	2	dog	254.702672003483
49	54.2	126.29	man	TRUE	5	none	888.78931701627
47	68.2	169.66	woman	FALSE	2	ferret	1159.75346758794
32	68.8	176.76	woman	TRUE	4	ferret	528.891169960239
40	68.6	159.11	man	FALSE	2	dog	460.107830159577
53	61.5	160.54	woman	FALSE	0	dog	1123.54640432052
38	55.7	174.8	woman	FALSE	1	cat	-69.7288055151583
32	76.5	172.22	man	FALSE	1	dog	-122.930132935747
45	69.2	163.18	woman	FALSE	0	none	810.715140102566
51	56	116.02	man	FALSE	1	cat	1086.38044197249
36	63.1	166.12	woman	FALSE	0	hedgehog	659.628453630502
37	62.1	151.83	woman	FALSE	2	none	439.231454751716
45	66.9	167.75	man	TRUE	4	hedgehog	693.091993121166
34	66.6	193.12	woman	FALSE	2	none	273.399018447159
38	72.5	194.26	man	FALSE	0	none	-101.217705433995
49	80.5	171.91	woman	TRUE	4	dog	726.472001115765
34	40.9	128.96	man	TRUE	3	none	315.551481657438
44	54.1	161.21	man	FALSE	2	cat	457.45424021516
48	55.1	180.59	man	FALSE	3	dog	870.600317576608
30	45.3	150.1	woman	TRUE	6	none	-235.442746110884
38	42.1	145.96	woman	FALSE	0	ferret	535.235303868344
43	53.1	135.91	woman	TRUE	2	dog	388.290230227948
57	75.5	166.97	man	TRUE	3	none	1476.84877086199
41	61.8	170.78	man	FALSE	1	cat	313.981906257041
21	53.4	159.24	woman	FALSE	2	none	-448.968865760431
49	69.3	175.09	woman	TRUE	3	hedgehog	1076.91205208922
40	71.8	161.52	man	FALSE	0	dog	783.558471885467
40	83.5	195.25	woman	TRUE	4	cat	404.577538277095
36	49.1	155.97	woman	FALSE	1	hedgehog	100.87467130382
39	48.7	154.2	woman	FALSE	0	none	-51.4803092993538
39	83.3	165.91	other	FALSE	1	dog	468.875012901431
36	77.9	183.2	woman	FALSE	1	none	483.3518182301
51	46	130.78	woman	TRUE	1	none	1209.23957021692
47	60.4	158.62	man	FALSE	1	cat	747.19572949114
30	62.1	142.96	man	TRUE	1	cat	4.75084975859349
54	58	179.75	other	FALSE	1	cat	1272.93204427486
40	73.9	177.08	other	TRUE	3	dog	5.38441896583589
34	67.3	190.2	woman	FALSE	0	cat	76.158170928969
35	48	158.97	man	TRUE	1	ferret	444.85260897389
66	53.8	148.31	man	FALSE	0	none	2028.77647840642
31	45.3	130.12	woman	FALSE	1	dog	-62.7176276171789
41	54.1	154.17	man	FALSE	2	cat	192.019733825117
47	54.6	167.08	man	FALSE	0	ferret	1243.11683845685
41	39.3	127.37	woman	FALSE	0	none	366.979331454648
30	61.3	158.16	woman	FALSE	2	none	-45.6164040765952
44	60.5	164.25	man	FALSE	1	dog	463.24102968385
38	57.7	153.75	woman	TRUE	3	cat	422.692203254975
36	55.7	163.7	man	FALSE	1	none	-48.0916456515666
42	47.4	140.13	man	FALSE	1	none	430.488162429553
32	78.2	175.85	man	TRUE	4	dog	-174.934638796985
39	57.5	155.45	woman	TRUE	3	hedgehog	267.379776721718
50	63	175.92	woman	TRUE	4	dog	1104.29372860349
51	65.9	180.28	woman	FALSE	1	dog	1101.76468251785
35	93.4	212.1	man	TRUE	2	none	393.943635966224
37	57.4	169.16	woman	TRUE	2	none	164.982227506423
50	53.8	156.9	woman	FALSE	2	ferret	1300.74243316783
42	71	185.48	woman	FALSE	1	none	804.44877065104
57	75.3	156.4	man	TRUE	4	cat	1515.68579870792
44	63.4	152.48	man	FALSE	1	hedgehog	979.009957357709
49	56.8	163.33	man	TRUE	4	none	831.553224537932
32	68.9	187.91	man	FALSE	1	none	96.0224175542574
26	77.4	190.91	woman	FALSE	1	none	-160.209563143582
44	59.6	177.11	woman	FALSE	0	cat	171.030034870398
50	64.3	159.98	man	TRUE	3	none	863.71630613202
33	52.3	134.36	man	FALSE	1	none	-5.34864857916592
51	56.1	144.28	other	TRUE	3	dog	1143.31902142578
35	76.3	185.63	woman	FALSE	1	ferret	935.137861523251
36	59.6	167.66	man	FALSE	2	dog	430.429629346069
43	65.5	150.03	man	TRUE	0	hedgehog	686.734913215715
44	64	187.21	man	TRUE	2	cat	697.596660608929
58	49.1	156.38	other	FALSE	0	cat	1397.53928185721
52	76.7	177.59	man	FALSE	0	dog	1164.14147683652
33	86.4	199.55	man	FALSE	1	dog	332.187103694535
36	67.8	155.82	woman	TRUE	2	none	-120.084302448622
23	59.2	150.84	woman	FALSE	2	none	-160.840149574238
30	63.8	162.64	woman	FALSE	0	none	92.3005664939558
38	77.5	206.77	woman	FALSE	0	ferret	941.112813657725
38	78	183.53	woman	TRUE	2	none	-66.4445617433134
35	77.2	182.29	man	FALSE	1	dog	-129.996435650279
56	65.4	170.87	man	FALSE	0	hedgehog	1837.79339874895
24	51.4	158.12	man	FALSE	1	none	-488.527223437761
47	69	182.92	other	FALSE	2	none	1000.7751467064
32	69.6	165.55	other	FALSE	1	ferret	655.032733777353
36	58.8	182.21	man	FALSE	2	dog	236.989116501926
37	75.1	181.54	man	FALSE	1	none	55.1758313894374
49	67.6	153.63	man	FALSE	2	dog	1046.93990926693
30	70.3	176.49	man	TRUE	3	dog	-199.119562264465
27	66.6	172.15	other	FALSE	1	none	-406.442554053289
36	78.5	181.25	other	TRUE	1	none	296.103574164142
34	65	142.91	other	FALSE	0	ferret	547.60915080043
40	87.9	192.59	man	FALSE	0	dog	639.58774087751
42	55.8	139.34	woman	FALSE	0	none	406.958147033431
46	49.9	160.49	woman	FALSE	1	ferret	1461.60521313682
44	51.7	139.27	woman	TRUE	1	none	485.500722541507
31	62.7	162.38	man	FALSE	1	dog	-439.691344066872
36	50	171.62	man	FALSE	1	none	191.495676880682
46	87.8	162.81	woman	FALSE	3	none	876.910736350449
36	64.5	157.54	woman	FALSE	0	dog	252.73046370977
32	39	146.72	woman	FALSE	2	none	116.453904024541
33	75.5	196.57	man	FALSE	1	dog	274.611547452427
34	56.5	153.32	woman	FALSE	0	cat	-36.2529631077781
22	19.4	151.93	man	FALSE	1	dog	-622.699174100893
34	72	175.57	woman	FALSE	1	dog	399.754383177545
31	56.2	163.35	man	TRUE	5	dog	-106.04133238791
44	57.8	157.03	other	TRUE	5	cat	601.93928797632
32	68.6	179.52	man	FALSE	0	dog	-64.6576598978138
33	37.3	116.17	woman	FALSE	0	dog	-119.161460535098
23	75.5	146.13	woman	TRUE	1	hedgehog	-345.22513294413
35	55.7	176.28	other	FALSE	1	none	155.464031055205
41	58.5	144.63	man	FALSE	1	hedgehog	801.600369589844
48	64.4	149.21	other	FALSE	1	dog	810.833119577676
37	70.5	198.73	woman	TRUE	4	cat	178.573327766066
40	75.6	158.41	man	FALSE	0	none	639.052793687678
41	58.3	171.89	woman	TRUE	3	dog	106.377231882007
33	75.4	169.15	woman	FALSE	0	dog	171.043222102553
44	55.4	161.92	woman	FALSE	2	dog	496.692754911446
36	68.3	184.83	man	TRUE	4	cat	-14.7563639591522
26	45.2	134.94	woman	TRUE	3	none	-289.215945323516
35	65.4	149.85	man	TRUE	3	cat	208.509845127752
31	61	157.94	other	TRUE	2	hedgehog	-1.19176369189077
27	53.9	170.01	other	TRUE	5	dog	-247.839298881271
40	64.6	156.25	woman	FALSE	0	ferret	633.350118737896
29	76	200.15	woman	TRUE	0	cat	-255.120900477468
40	58.5	154.98	woman	TRUE	2	none	506.379883619357
40	73.1	158.35	man	FALSE	1	dog	333.981538458599
35	63	149.32	woman	TRUE	4	hedgehog	243.148062019492
36	71.1	171.19	man	FALSE	1	none	417.119776844009
29	80.7	185.94	man	FALSE	1	dog	344.347995700567
41	50.8	130.42	man	TRUE	3	none	408.45016319459
29	72.6	185.71	man	TRUE	1	hedgehog	180.812778443185
43	75.3	178.3	woman	FALSE	1	dog	802.706635576699
42	70.6	160.72	other	TRUE	2	dog	927.149520524294
39	51.2	132.63	woman	TRUE	3	cat	188.051643990087
22	67.4	174.97	woman	TRUE	5	dog	-19.3537802642458
45	86.5	204.5	other	FALSE	0	cat	773.911253382841
37	96.3	199.27	woman	TRUE	0	hedgehog	678.005942757427
32	84.9	190.34	man	FALSE	0	dog	-68.760831549766
43	53.7	151.72	man	TRUE	3	hedgehog	1011.88633873336
49	67.2	138.82	woman	TRUE	0	none	943.882257130398
43	40.3	113.59	man	TRUE	4	none	429.391624425461
48	63.4	170.57	woman	FALSE	1	none	1131.72789420732
54	73.3	168.72	woman	FALSE	0	none	1355.21440137583
33	44.1	154.62	woman	FALSE	0	none	-185.248026628255
40	72.9	168.93	man	TRUE	1	cat	290.868539752979
48	95.3	216.19	woman	TRUE	4	hedgehog	1298.77821991388
39	53.3	131.16	man	FALSE	1	dog	457.366382331287
30	74.8	165.31	woman	FALSE	0	none	52.2204522010453
39	54.2	149.15	woman	TRUE	6	dog	97.7553091302624
35	64.6	191.25	woman	FALSE	1	dog	212.455821151982
38	79.2	180.37	other	FALSE	2	none	36.955474322966
27	73.3	174.82	woman	TRUE	3	none	-203.895671271388
24	87.7	177.65	man	FALSE	2	none	-400.396038459369
31	29.1	117.82	woman	FALSE	3	dog	151.115581004886
31	58.8	167.98	man	FALSE	0	none	-1.16494350329381
34	76.8	197.98	woman	FALSE	0	dog	301.597589705372
57	78.7	193.63	man	FALSE	1	cat	1419.49956688678
38	71.5	149.08	man	FALSE	0	hedgehog	321.290147065521
33	36	124.84	man	FALSE	1	hedgehog	117.147283189396
47	60.3	145.84	woman	FALSE	1	dog	408.218609794338
40	72.7	177.87	man	FALSE	3	cat	656.877002318651
32	78.1	216.07	woman	TRUE	3	dog	19.3659524167052
40	75.8	178.86	man	FALSE	1	hedgehog	749.008084209811
34	58.2	157.2	woman	TRUE	2	ferret	574.283088361755
28	73.7	173.58	woman	FALSE	0	ferret	95.2272018990585
53	64.1	160.4	other	TRUE	1	none	1595.4802346253
38	53.2	163.37	man	FALSE	0	cat	-189.002029574267
47	83.5	181.8	man	FALSE	0	ferret	1125.13552285699
38	68	155.93	woman	FALSE	0	none	288.98003091018
38	68.5	163.12	woman	TRUE	4	hedgehog	403.436051267313
34	64.2	180.35	woman	FALSE	0	cat	-130.769592926119
40	67.5	175.18	man	FALSE	0	cat	389.905461897615
40	53.5	154.49	woman	FALSE	3	none	342.941180798562
51	48.1	169.14	woman	TRUE	3	cat	991.015303992825
36	46.3	137.66	woman	TRUE	2	dog	32.8054900211191
61	70.2	155.12	woman	TRUE	3	cat	1947.12038665222
24	59.8	159.14	woman	FALSE	0	ferret	23.5084014333088
59	59	188.08	woman	FALSE	0	dog	1814.06642048801
58	70.7	193.64	woman	FALSE	1	dog	1563.87145127498
40	56.2	128.02	man	FALSE	0	none	445.756226067376
27	86.5	209.1	woman	TRUE	3	none	-129.795317034846
29	46.3	159.5	man	FALSE	2	dog	-51.198240916862
43	38.5	160.16	man	TRUE	1	cat	430.043819155378
41	78.1	188.71	woman	FALSE	3	cat	639.385358828411
49	48.8	145.43	other	FALSE	1	dog	1128.18496173233
34	48	139.07	man	FALSE	4	cat	-132.930390549634
34	67.7	170.3	man	FALSE	0	hedgehog	-117.965999644492
39	107.2	235.25	woman	TRUE	2	cat	493.568920674535
32	81.6	167.73	woman	FALSE	0	none	-215.970733940133
38	100.7	212.08	man	TRUE	1	cat	383.817579526263
38	70	170.9	man	FALSE	0	ferret	886.360537532903
50	73.9	182.9	woman	FALSE	1	ferret	1504.62729723238
42	70.8	191.3	man	FALSE	0	none	538.007293614226
36	84.3	213.31	man	TRUE	0	hedgehog	721.22655639707
41	60.3	167.47	man	FALSE	2	dog	267.019546724773
37	69.4	158.17	woman	FALSE	2	hedgehog	427.07083667015
32	69.9	169.17	other	FALSE	0	cat	37.5157761482836
36	73.3	169.42	woman	FALSE	2	none	85.1957830159413
48	69.4	160.13	woman	TRUE	2	hedgehog	1231.72634336695
47	76.5	177.26	woman	TRUE	3	cat	1046.45877925292
32	84.7	172.33	man	FALSE	2	cat	253.374721386846
46	71.3	171.95	woman	FALSE	1	cat	985.849635836238
51	51.3	117.05	woman	FALSE	1	none	1274.07024006155
51	71.8	165.47	woman	FALSE	1	none	1034.19628294297
27	72.1	177.54	woman	FALSE	1	dog	-611.641819726931
28	42.4	147.07	man	FALSE	1	cat	-68.730456711408
29	73.1	169.5	woman	FALSE	0	ferret	183.896049864745
26	61.5	173.77	woman	TRUE	4	dog	-444.724131236272
41	72.8	175.33	man	FALSE	0	none	-212.383636046381
42	69.6	171.17	woman	FALSE	0	none	482.61064468648
35	52.7	174.73	other	TRUE	2	none	61.4911475634941
38	64.3	170.9	other	FALSE	1	dog	429.264611118889
52	69.9	181.3	man	TRUE	1	none	1122.06763508668
21	63.2	168.3	man	TRUE	3	none	-508.333315147981
60	80.2	154.25	woman	TRUE	2	hedgehog	2005.83729521649
29	63	141.01	woman	TRUE	3	cat	-180.932993166436
40	104.1	209.99	man	FALSE	1	none	856.399955974548
35	68	138.37	man	FALSE	1	ferret	274.868312872978
56	68.9	167.17	man	FALSE	1	cat	1416.73303015968
42	56.8	171.49	woman	FALSE	1	cat	630.186296153277
34	66	180.07	woman	FALSE	0	hedgehog	115.630616210363
32	61.7	197.98	man	TRUE	3	none	85.8781473539261
38	61.8	163.7	woman	FALSE	2	none	417.903553816724
39	69.5	189.26	woman	TRUE	2	cat	61.5148659612508
56	65.1	150.51	woman	FALSE	0	none	1785.12518833024
38	51.2	173.62	man	FALSE	1	none	521.874602476112
40	54.5	165.07	woman	FALSE	0	dog	257.258623699864
35	44.8	160.81	man	FALSE	0	none	-89.0891587916511
33	74.9	141.16	woman	FALSE	1	ferret	314.249796147485
42	79.5	174.91	man	FALSE	1	none	726.198152181602
43	55.9	167.58	woman	TRUE	1	none	565.066503321227
39	43.9	145.64	woman	TRUE	3	ferret	922.708113021408
24	65	199.76	man	FALSE	0	none	84.0389822915666
59	64.3	173.94	man	TRUE	3	none	1682.58299384115
44	82.6	182.65	other	FALSE	2	ferret	858.598111529953
30	63.1	171.56	woman	FALSE	0	dog	-157.007999833044
39	76.8	167.75	man	FALSE	3	cat	133.638960082654
30	82.3	161.01	man	FALSE	1	cat	-135.66453129569
44	57	171.88	man	TRUE	4	none	79.4608245836822
47	48.7	158.67	man	FALSE	0	none	845.608174036418
39	67.3	135.72	woman	TRUE	3	none	-35.0942372340933
25	45.2	141.29	other	FALSE	3	ferret	299.402053031753
17	84.4	165.18	man	FALSE	0	ferret	-64.5538957262862
59	78.2	190.71	woman	TRUE	4	none	1612.31871182147
42	69.7	143.26	woman	FALSE	1	hedgehog	463.708247717242
43	60.1	139.18	woman	FALSE	0	none	740.013561233432
36	65.7	177.22	woman	FALSE	1	cat	293.738961955022
41	82.6	150.53	man	FALSE	0	dog	551.248868056491
30	86.2	183.28	other	FALSE	2	none	53.2834398110994
40	61.8	178.74	woman	TRUE	1	dog	208.311979972814
38	70.7	186.83	man	FALSE	2	cat	45.8415892383359
70	45.8	168.43	man	TRUE	3	none	2701.62973995607
40	46.6	142.26	man	TRUE	1	ferret	843.399813750172
48	65.4	200.52	woman	FALSE	0	hedgehog	1340.63083189373
30	85.5	200.48	woman	FALSE	2	dog	65.6241915015899
45	55.6	166.06	man	FALSE	1	cat	749.238184477833
31	62.9	151.75	woman	FALSE	2	none	-456.177548318387
35	76.4	185.58	woman	TRUE	3	cat	111.947234347437
36	74.6	186.72	man	FALSE	1	none	76.3533211807758
49	83.2	193.25	man	FALSE	1	none	1036.46435654538
42	78.7	184.64	woman	FALSE	0	none	953.194842264369
38	48.2	160.38	other	FALSE	0	none	572.442242512379
48	65.8	149.64	woman	FALSE	0	ferret	1454.60629168016
46	80.5	198.17	man	TRUE	4	ferret	1148.08970267228
48	75.6	170.41	woman	FALSE	0	none	761.409576126423
38	66.8	162.17	man	FALSE	2	dog	279.314665428165
37	60.2	165.91	man	FALSE	2	cat	-9.09871604960244
53	60.4	157.75	woman	FALSE	0	dog	1358.36128533408
38	78.4	162.87	man	FALSE	1	cat	482.886192534162
29	81.3	203.08	woman	FALSE	0	none	180.518714332575
58	74	179.2	woman	FALSE	1	none	1878.91938534513
37	59.9	170.17	woman	FALSE	0	cat	135.400566103496
57	74.9	169.67	man	FALSE	0	cat	1455.37226968318
44	65.8	155.2	woman	FALSE	2	ferret	868.825604031873
34	93.7	188.94	other	TRUE	4	none	167.411746189771
50	60	169	woman	TRUE	2	dog	1079.87250229973
52	76.7	179.23	man	TRUE	3	ferret	1670.33453046391
38	53.6	146.85	man	FALSE	1	none	340.386850166559
25	70.5	178.43	woman	TRUE	1	none	-685.682537287859
29	81.1	166.67	man	TRUE	3	none	-197.409881555155
50	66.8	177.96	man	TRUE	3	cat	1255.60712291542
41	60	155.71	woman	TRUE	4	none	556.902346454877
39	56.9	152.77	woman	TRUE	2	cat	509.439717316625
42	57.6	153.33	woman	FALSE	0	hedgehog	827.350708938774
36	60.2	173.33	man	FALSE	0	none	265.972952190944
35	65.7	166.96	man	FALSE	1	cat	240.899739235505
42	58.6	181.71	man	FALSE	1	ferret	890.703595912608
39	66.6	142.65	woman	TRUE	1	ferret	501.748944922263
37	62.1	159.09	man	TRUE	2	cat	115.155779645222
44	69.1	175.38	man	FALSE	2	cat	641.575313074639
50	91.5	188.19	woman	FALSE	1	cat	1152.0019700161
35	75.6	164.91	woman	TRUE	3	dog	265.527191635368
34	54.4	148.44	woman	TRUE	3	cat	-168.058805827036
26	65.5	171.12	woman	FALSE	1	none	29.3628833150842
47	66	180.86	man	TRUE	3	none	969.889349517992
38	59.2	161.46	man	FALSE	1	ferret	713.824981558462
38	65.3	151.38	man	TRUE	4	none	562.359682563806
34	80.5	174.04	man	FALSE	2	hedgehog	255.918151853554
31	68.6	178.92	man	TRUE	1	cat	-41.8662308912707
50	57.6	174.72	woman	FALSE	1	hedgehog	1355.74479449255
34	56.3	166.39	man	TRUE	4	hedgehog	-26.2754215359153
45	50.3	167.94	man	FALSE	2	none	642.640175041565
23	78.8	221.8	man	FALSE	1	hedgehog	-76.1939940451941
58	75.1	202.55	man	TRUE	2	none	1625.94753147228
38	63.1	168.78	man	TRUE	3	none	363.354972286823
33	39.8	154.95	man	FALSE	1	ferret	343.932375609739
43	69.7	178.95	man	TRUE	3	dog	1048.61577261513
29	65.7	161.64	man	FALSE	2	dog	-77.3742396437706
33	82.6	214.65	man	FALSE	2	none	416.537629034959
49	62.7	175.35	woman	TRUE	6	cat	643.58537239743
47	51.7	116.21	man	TRUE	2	dog	780.932468053946
40	74.3	173.51	woman	TRUE	1	cat	805.592893548726
42	98.5	188.07	man	FALSE	2	none	129.233889419869
55	78.1	183.56	man	FALSE	0	none	1318.72994413516
44	69.4	174.98	woman	TRUE	2	cat	669.29051409707
37	46.8	137.6	man	FALSE	0	none	96.9667752840604
52	58.1	170.47	woman	TRUE	3	ferret	1423.05096764751
28	52.5	162.41	man	TRUE	2	dog	-233.64340211252
55	56.7	152.87	woman	FALSE	0	none	1126.48395316527
38	57.2	154.72	woman	TRUE	3	none	163.236800163215
31	47.3	174.5	woman	FALSE	0	none	7.07380627204202
45	49.3	157.76	man	FALSE	1	none	751.596094603607
54	71.8	182.99	woman	FALSE	0	dog	936.349687869507
35	79.9	182.43	man	FALSE	1	none	-28.0323595583409
40	86.6	200.25	man	TRUE	5	dog	299.501899493975
30	50.3	181.56	man	FALSE	1	none	-37.445816186895
48	55.9	169.93	woman	FALSE	1	ferret	969.944260418761
45	49.5	145.34	woman	FALSE	1	none	802.767910311335
39	91.8	198.35	man	FALSE	0	cat	519.235935566715
44	69.1	157.88	man	FALSE	1	cat	424.150871176632
39	56.1	147.55	man	FALSE	3	hedgehog	348.198764640885
41	89.8	200.41	woman	TRUE	2	dog	148.48465621061
29	77.8	159.95	woman	FALSE	2	cat	-145.241260227821
37	57.6	154.2	woman	TRUE	3	none	-70.0142917780976
37	52.1	132.67	woman	TRUE	2	dog	283.991968384093
45	42.3	144.92	woman	TRUE	5	cat	574.243195738301
45	54.7	180.31	woman	FALSE	1	dog	333.438687202953
25	61.2	165.09	man	FALSE	0	hedgehog	-127.620485214557
35	64.8	171.86	man	FALSE	1	none	-119.930015435525
40	58.7	147.92	other	TRUE	3	cat	614.803678681176
32	70.6	150.74	woman	FALSE	0	none	14.1267605002006
39	77.6	148.24	man	TRUE	5	none	-100.800662497397
39	72.7	161.35	woman	FALSE	1	none	358.955143622147
46	58.5	143.67	woman	FALSE	1	none	942.42915610035
32	60.4	151.88	woman	TRUE	1	ferret	472.253171768965
42	65	180.48	woman	TRUE	2	none	622.012422453404
45	68.8	178.63	man	FALSE	1	none	1105.87990606468
33	68	187.17	man	TRUE	1	dog	5.20359499855609
38	51.3	156.31	woman	FALSE	1	none	104.126161475506
26	73.2	165.8	woman	FALSE	2	cat	-49.2301703564058
45	80.2	208.12	woman	FALSE	0	none	555.171759231614
35	70.4	171.49	woman	FALSE	0	dog	177.923631847534
37	63.7	177.41	woman	FALSE	0	cat	346.984638330254
42	72.4	144.25	man	FALSE	2	none	512.947712391968
44	57.9	172.39	man	TRUE	2	cat	505.336815208983
72	68.3	180.26	other	FALSE	1	hedgehog	3503.90346217324
39	60.6	158.83	woman	FALSE	2	dog	243.57509079925
30	68.4	177.2	man	FALSE	1	ferret	278.919697185619
49	52.3	154.26	man	FALSE	2	dog	1280.59738220723
39	39.8	116.76	woman	FALSE	2	none	-283.922447153624
36	55.3	165.61	man	FALSE	0	cat	344.896327462121
26	96.2	194.31	man	FALSE	0	none	-66.0724446719975
39	84.7	167.23	man	FALSE	0	dog	678.352402500052
27	64.5	178.09	woman	FALSE	1	cat	168.482036965543
34	75	176.23	woman	FALSE	1	hedgehog	184.639896905967
38	85.4	218.28	woman	TRUE	3	none	585.686095440382
28	93.3	170.54	man	TRUE	2	none	-238.493333044945
57	73.2	183.2	woman	TRUE	4	dog	1818.89499162517
56	80.3	185.52	woman	FALSE	1	none	1496.76163450626
45	71.2	194.71	man	TRUE	4	none	629.285921498124
44	86.4	177.62	man	TRUE	2	none	549.478742905122
44	56.2	147.69	man	FALSE	3	dog	610.977556161785
27	81.9	186.56	man	TRUE	1	none	112.974991130497
43	73.8	177.76	woman	TRUE	3	ferret	906.394736909508
51	58.8	173.31	woman	FALSE	1	none	1017.03575877271
36	73.7	153.9	other	TRUE	2	none	-226.50145298253
35	60.1	155.06	man	FALSE	0	none	182.988449373344
39	82.2	197.49	woman	FALSE	3	none	254.515680153535
28	61.7	159.92	woman	TRUE	1	cat	-97.1358236526799
23	61.5	173.89	woman	TRUE	1	cat	-424.992407737651
39	73.3	190.49	man	FALSE	1	none	458.785172238011
41	62	194.35	man	TRUE	2	none	596.772418807744
43	65.1	178.16	woman	FALSE	1	none	547.18021262076
40	76.8	187.44	woman	TRUE	4	none	408.381810684762
56	85.7	190.4	man	FALSE	0	ferret	1881.1137341024
32	90.6	190.11	man	FALSE	2	cat	69.5826085030331
24	70.7	177.58	man	FALSE	0	ferret	198.026586150843
35	77.1	188.36	woman	FALSE	1	dog	357.018789720249
42	74.4	186.28	man	FALSE	0	none	626.580921848076
46	74	179.65	man	FALSE	1	cat	704.013214835849
39	47	154.74	woman	FALSE	1	none	203.950209613908
40	71	172.16	man	FALSE	0	none	378.64010866892
54	60.5	168.03	woman	FALSE	1	none	1101.97884199808
50	64.6	135.6	man	TRUE	6	dog	915.702649990671
38	75.9	166.5	man	FALSE	0	ferret	311.006677767513
31	69	177.7	woman	FALSE	1	none	1.55743061697835
45	49.9	148.57	woman	TRUE	4	none	408.012053743988
28	75	194.41	man	FALSE	1	cat	-81.3773462471628
49	50.7	172.11	woman	TRUE	6	ferret	1360.72140695317
55	75	159.05	man	FALSE	1	none	1290.65283274057
42	47.7	163.64	woman	TRUE	4	cat	321.761384695323
32	53.8	158.92	other	TRUE	1	hedgehog	554.671720000978
33	58	158.95	other	FALSE	0	none	-52.2857973119461
42	67.3	169.42	woman	FALSE	0	none	715.612695494446
39	76.3	216.99	man	FALSE	1	none	446.014661810581
30	51.8	142.22	man	TRUE	1	none	-213.963317892984
66	50.9	162.4	man	FALSE	0	cat	2305.07107423436
41	88.5	161.95	woman	FALSE	0	cat	514.042244423022
38	68.9	173.39	woman	TRUE	2	cat	25.4623226044798
57	67.6	160.38	woman	TRUE	1	cat	1341.23058946313
35	56.5	180.25	woman	FALSE	0	hedgehog	610.522721138247
47	67.1	139.41	woman	TRUE	3	none	479.305079326227
31	83.5	176.2	other	FALSE	1	hedgehog	26.5521596041353
40	82.1	213.3	other	FALSE	2	none	673.612874782461
